LoanID;Title;Genre;Category;Publisher;Author;NumberOfPages;OnLoan;Stock;Language;YearOfPublication
LOAN_000000000001358;Hastane;Roman;Dünya Edebiyat?;Can Yay?nlar?;Arthur Hailey;;0;0;Türkçe;44529,49253
LOAN_000000000001359;Hat?ralar I????ndan Atatürk Ve Cumhuriyet Halk F?kras?;Roman;Ortado?u (Yak?ndo?u);Can Yay?nlar?;Kahraman Yusufo?lu;;0;0;Türkçe;44901,50345
LOAN_000000000001360;Hat?rda Kalanlar;Roman;Tarih ve Co?rafya;Ketebe Yay?nlar?;Taha K?l?nç;140;0;0;Türkçe;45562,55505
LOAN_000000000001361;Hat?rlay??lar;Roman;Türk Edebiyat?;T.C. ?stanbul Valili?i;Süleyman Ceran;157;0;0;;45586,54678
LOAN_000000000001362;Hava Alan;Roman;Dünya Edebiyat?;Can Yay?nlar?;Arthur Hailey;;0;0;Türkçe;44525,40733
LOAN_000000000001363;Havada Bulut;Roman;Türk Edebiyat?;Can Yay?nlar?;Sait Faik Abas?yan?k;;0;0;Türkçe;45363,87025
LOAN_000000000001364;Havada Bulut Yok;Roman;Dünya Edebiyat?;Can Yay?nlar?;Cevdet Kudret;;0;0;Türkçe;45184,59382
LOAN_000000000001365;Havaya Uçan At;Roman;Türk Edebiyat?;Can Yay?nlar?;Peyami Safa;;0;0;Türkçe;44526,51397
LOAN_000000000001366;Havaya Uçan At;Roman;Türk Edebiyat?;Ötüken Yay?nevi;Peyami Safa;;0;0;Türkçe;44526,34788
LOAN_000000000001367;Havuz Ba??;Roman;Türk Edebiyat?;Can Yay?nlar?;Sait Faik Abas?yan?k;;0;0;Türkçe;45572,49125
LOAN_000000000001368;Hayal Kurma Dersleri;Roman;Türk Edebiyat?;Tudem Edebiyat Vakf?;Pelin Güne?;110;0;0;Türkçe;45572,49125
LOAN_000000000001369;Hayaletler;Roman;Dünya Edebiyat?;Can Yay?nlar?;Paul Auster;;0;0;Türkçe;45572,49125
LOAN_000000000001370;Hayat;Roman;Türk Edebiyat?;Can Yay?nlar?;Engin Geçtan;;0;0;Türkçe;44900,47338
LOAN_000000000001371;Hayat De?i?tiren 101 Öykü;Roman;Türk Edebiyat?;Tutku Yay?nevi;Cengiz Er?ahin;268;0;0;Türkçe;44526,43579
LOAN_000000000001372;Hayat K?v?lc?m?;Roman;Dünya Edebiyat?;Can Yay?nlar?;Erich Maria Remarque;;0;0;Türkçe;44529,40023
